"Ciudad","Mortalidad_F","Mortaliad_M","Mortalidad_total"
"Copiapo",3.8809499331757,5.19186778728763,4.53640043693375
"Gran Concepcion",5.75346915657432,6.48520976268136,6.10522263625373
"Gran Coquimbo",5.04911088469858,6.07991835538208,5.54431277643328
"Gran Santiago",5.67228868379568,6.17643618811796,5.9151573286865
"Temuco",4.82680655937607,5.78206920037175,5.27802631975791
"Valdivia",6.08384253897254,7.26718630955869,6.64718314279935
